id,title,author,rating_average,movie_release_year,isbn,Unnamed: 0,rank,genre,description,director,actors,year,runtime (minutes),rating,votes,revenue (millions),metascore
445,the other boleyn girl,philippa gregory,4.06,2008,978-0743227445,962,963,"biography,drama,history",two sisters contend for the affection of king henry viii.,justin chadwick,"natalie portman, scarlett johansson, eric bana,jim sturgess",2008,115,6.7,88260,26.81,50.0
456,"love, rosie",cecelia ahern,4.2,2014,978-0786891085,677,678,"comedy,romance","rosie and alex have been best friends since they were 5, so they couldn't possibly be right for one another...or could they? when it comes to love, life and making the right choices, these two are their own worst enemies.",christian ditter,"lily collins, sam claflin, christian cooke, jaime winstone",2014,102,7.2,80415,0.01,44.0
457,one day,david nicholls,3.8,2011,978-0340961175,873,874,"drama,romance","after spending the night together on the night of their college graduation dexter and em are shown each year on the same date to see where they are in their lives. they are sometimes together, sometimes not, on that day.",lone scherfig,"anne hathaway, jim sturgess, patricia clarkson,tom mison",2011,107,7.0,113599,13.77,48.0
495,hidden figures,margot lee shetterly,4.26,2016,978-0062363596,11,12,"biography,drama,history",the story of a team of female african-american mathematicians who served a vital role in nasa during the early years of the u.s. space program.,theodore melfi,"taraji p. henson, octavia spencer, janelle monáe,kevin costner",2016,127,7.8,93103,169.27,74.0
510,world war z,max brooks,4.01,2013,978-0307346605,432,433,"action,adventure,horror","former united nations employee gerry lane traverses the world in a race against time to stop the zombie pandemic that is toppling armies and governments, and threatening to destroy humanity itself.",marc forster,"brad pitt, mireille enos, daniella kertesz, james badge dale",2013,116,7.0,494819,202.35,63.0
602,harry potter and the order of the phoenix,j.k. rowling,4.5,2007,978-0439358064,314,315,"adventure,family,fantasy","with their warning about lord voldemort's return scoffed at, harry and dumbledore are targeted by the wizard authorities as an authoritarian bureaucrat slowly seizes power at hogwarts.",david yates,"daniel radcliffe, emma watson, rupert grint, brendan gleeson",2007,138,7.5,385325,292.0,71.0
603,harry potter and the half-blood prince,j.k. rowling,4.57,2009,978-0439784542,473,474,"adventure,family,fantasy","as harry potter begins his sixth year at hogwarts, he discovers an old book marked as ""the property of the half-blood prince"" and begins to learn more about lord voldemort's dark past.",david yates,"daniel radcliffe, emma watson, rupert grint, michael gambon",2009,153,7.5,351059,301.96,78.0
612,casino royale,ian fleming,3.76,2006,978-1612185439,164,165,"action,adventure,thriller","armed with a licence to kill, secret agent james bond sets out on his first mission as 007 and must defeat a weapons dealer in a high stakes game of poker at casino royale, but things are not what they seem.",martin campbell,"daniel craig, eva green, judi dench, jeffrey wright",2006,144,8.0,495106,167.01,80.0
616,tinker tailor soldier spy,john le carré,4.06,2011,978-0143120933,689,690,"drama,mystery,thriller","in the bleak days of the cold war, espionage veteran george smiley is forced from semi-retirement to uncover a soviet agent within mi6.",tomas alfredson,"gary oldman, colin firth, tom hardy, mark strong",2011,122,7.1,157053,24.1,85.0
634,i am legend,richard matheson,4.0,2007,978-0765357151,495,496,"drama,horror,sci-fi","years after a plague kills most of humanity and transforms the rest into monsters, the sole survivor in new york city struggles valiantly to find a cure.",francis lawrence,"will smith, alice braga, charlie tahan, salli richardson-whitfield",2007,101,7.2,565721,256.39,65.0
672,paper towns,john green,3.86,2015,978-0525478188,768,769,"drama,mystery,romance","after an all night adventure, quentin's life-long crush, margo, disappears, leaving behind clues that quentin and his friends follow on the journey of a lifetime.",jake schreier,"nat wolff, cara delevingne, austin abrams, justice smith",2015,109,6.3,72515,31.99,56.0
674,miss peregrine's home for peculiar children,ransom riggs,3.9,2016,978-1594744761,120,121,"adventure,drama,family","when jacob discovers clues to a mystery that stretches across time, he finds miss peregrine's home for peculiar children. but the danger deepens after he gets to know the residents and learns about their special powers.",tim burton,"eva green, asa butterfield, samuel l. jackson, judi dench",2016,127,6.7,101058,87.24,57.0
678,insurgent,veronica roth,4.02,2015,978-0062024046,354,355,"adventure,sci-fi,thriller",beatrice prior must confront her inner demons and continue her fight against a powerful alliance which threatens to tear her society apart with the help from others on her side.,robert schwentke,"shailene woodley, ansel elgort, theo james,kate winslet",2015,119,6.3,171970,130.0,42.0
679,allegiant,veronica roth,3.6,2016,978-0062024060,204,205,"action,adventure,mystery","after the earth-shattering revelations of insurgent, tris must escape with four beyond the wall that encircles chicago, to finally discover the shocking truth of the world around them.",robert schwentke,"shailene woodley, theo james, jeff daniels,naomi watts",2016,120,5.7,70504,66.0,33.0
686,brooklyn,colm tóibín,3.92,2015,978-1439136690,441,442,"drama,romance","an irish immigrant lands in 1950s brooklyn, where she quickly falls into a romance with a local. when her past catches up with her, however, she must choose between two countries and the lives that exist within.",john crowley,"saoirse ronan, emory cohen, domhnall gleeson,jim broadbent",2015,117,7.5,94977,38.32,87.0
751,inferno,dan brown,3.86,2016,978-0385537858,149,150,"action,adventure,crime","when robert langdon wakes up in an italian hospital with amnesia, he teams up with dr. sienna brooks, and together they must race across europe against the clock to foil a deadly global plot.",ron howard,"tom hanks, felicity jones, irrfan khan, ben foster",2016,121,6.2,97623,34.26,42.0
778,christine,stephen king,3.79,1983,978-0670220267,823,824,"biography,drama","the story of christine chubbuck, a 1970s tv reporter struggling with depression and professional frustrations as she tries to advance her career.",antonio campos,"rebecca hall, michael c. hall, tracy letts, maria dizzia",2016,119,7.0,5855,0.3,72.0
782,"alexander and the terrible, horrible, no good, very bad day",judith viorst,4.22,2014,978-0689714346,862,863,"comedy,family","alexander's day begins with gum stuck in his hair, followed by more calamities. however, he finds little sympathy from his family and begins to wonder if bad things only happen to him, his mom, dad, brother and sister - who all find themselves living through their own terrible, horrible, no good, very bad day.",miguel arteta,"steve carell, jennifer garner, ed oxenbould, dylan minnette",2014,81,6.2,32310,66.95,54.0
790,gone baby gone,dennis lehane,4.13,2007,978-0062068408,662,663,"crime,drama,mystery","two boston area detectives investigate a little girl's kidnapping, which ultimately turns into a crisis both professionally and personally.",ben affleck,"morgan freeman, ed harris, casey affleck, michelle monaghan",2007,114,7.7,206707,20.3,72.0
905,horns,joe hill,3.92,2013,978-0061147955,865,866,"drama,fantasy,horror","in the aftermath of his girlfriend's mysterious death, a young man awakens to find strange horns sprouting from his temples.",alexandre aja,"daniel radcliffe, juno temple, max minghella, joe anderson",2013,120,6.5,61060,0.16,46.0
974,vampire academy,richelle mead,4.12,2014,978-1595141743,649,650,"action,comedy,fantasy","rose hathaway is a dhampir, half human-half vampire, a guardian of the moroi, peaceful, mortal vampires living discreetly within our world. her calling is to protect the moroi from bloodthirsty, immortal vampires, the strigoi.",mark waters,"zoey deutch, lucy fry, danila kozlovsky, gabriel byrne",2014,104,5.6,44111,7.79,30.0
976,beautiful creatures,kami garcia,3.75,2013,978-0316042673,610,611,"drama,fantasy,romance","ethan longs to escape his small southern town. he meets a mysterious new girl, lena. together, they uncover dark secrets about their respective families, their history and their town.",richard lagravenese,"alice englert, viola davis, emma thompson,alden ehrenreich",2013,124,6.2,71822,19.45,52.0
980,the host,stephenie meyer,3.84,2013,978-0316068048,239,240,"action,adventure,romance","when an unseen enemy threatens mankind by taking over their bodies and erasing their memories, melanie will risk everything to protect the people she cares most about, proving that love can conquer all in a dangerous new world.",andrew niccol,"saoirse ronan, max irons, jake abel, diane kruger",2013,125,5.9,96852,26.62,35.0
980,the host,stephenie meyer,3.84,2013,978-0316068048,632,633,"comedy,drama,horror",a monster emerges from seoul's han river and focuses its attention on attacking people. one victim's loving family does what it can to rescue her from its clutches.,bong joon ho,"kang-ho song, hee-bong byun, hae-il park, doona bae",2006,120,7.0,73491,2.2,85.0
982,sex and the city,candace bushnell,3.45,1998,978-0446673549,893,894,"comedy,drama,romance",a new york writer on sex and love is finally getting married to her mr. big. but her three best girlfriends must console her after one of them inadvertently leads mr. big to jilt her.,michael patrick king,"sarah jessica parker, kim cattrall, cynthia nixon, kristin davis",2008,145,5.5,102547,152.64,53.0
987,safe haven,nicholas sparks,4.18,2013,978-0446547598,487,488,"drama,romance,thriller","a young woman with a mysterious past lands in southport, north carolina where her bond with a widower forces her to confront the dark secret that haunts her.",lasse hallström,"julianne hough, josh duhamel, cobie smulders,david lyons",2013,115,6.7,84765,71.35,34.0
