id,title,rating,votes,metascore
739,knight of cups,5.7,17439,53.0
740,the mummy: tomb of the dragon emperor,5.2,124554,31.0
741,the boss,5.4,29642,40.0
742,hands of stone,6.6,8998,54.0
743,el secreto de sus ojos,8.2,144524,80.0
744,true grit,7.6,254904,80.0
745,we are your friends,6.2,25903,46.0
746,a million ways to die in the west,6.1,144779,44.0
747,only for one night,4.6,313,60.0
749,ouija: origin of evil,6.1,30035,65.0
750,percy jackson: sea of monsters,5.9,91684,39.0
751,fracture,7.2,148943,68.0
752,oculus,6.5,92875,61.0
753,in bruges,7.9,322536,67.0
754,this means war,6.3,154400,31.0
755,lída baarová,5.0,353,64.0
757,lavender,5.2,2083,46.0
758,deuces,6.6,256,36.0
760,the fighter,7.8,290056,79.0
761,august rush,7.5,91229,38.0
762,chef,7.3,151970,68.0
763,eye in the sky,7.3,57826,73.0
764,eagle eye,6.6,156158,43.0
765,the purge,5.7,154588,41.0
766,pk,8.2,103279,51.0
768,indiana jones and the kingdom of the crystal skull,6.2,351361,65.0
