title,rating,votes,revenue (millions),metascore
i am legend,7.2,565721,256.39,65.0
men in black 3,6.8,278379,179.02,58.0
super 8,7.1,298913,126.98,72.0
law abiding citizen,7.4,228339,73.34,34.0
up,8.3,722203,292.98,88.0
maze runner: the scorch trials,6.3,159364,81.69,43.0
carol,7.2,77995,0.25,95.0
youth,7.3,52636,2.7,64.0
savages,6.5,107960,47.31,59.0
(500) days of summer,7.7,398972,32.39,76.0
movie 43,4.3,83625,8.83,18.0
gravity,7.8,622089,274.08,96.0
the boy in the striped pyjamas,7.8,144614,9.03,55.0
shooter,7.2,267820,46.98,53.0
the happening,5.0,170897,64.51,34.0
bone tomahawk,7.1,47289,66.01,72.0
easy a,7.1,294950,58.4,72.0
exodus: gods and kings,6.0,137299,65.01,52.0
chappie,6.9,188769,31.57,41.0
the hobbit: the desolation of smaug,7.9,513744,258.36,66.0
half of a yellow sun,6.2,1356,0.05,51.0
anthropoid,7.2,24100,2.96,59.0
the counselor,5.3,84927,16.97,48.0
viking,4.7,1830,23.05,57.0
trust,7.0,36043,0.06,60.0
birth of the dragon,3.9,552,93.05,61.0
the green inferno,5.4,26461,7.19,38.0
godzilla,6.4,318058,200.66,62.0
the bourne legacy,6.7,245374,113.17,61.0
a good year,6.9,74674,7.46,47.0
friend request,5.4,12758,64.03,59.0
lucy,6.4,352698,126.55,61.0
a quiet passion,7.2,1024,1.08,77.0
need for speed,6.5,143389,43.57,39.0
jack reacher,7.0,250811,58.68,50.0
the do-over,5.7,24761,0.54,22.0
the ghost writer,7.2,137964,15.52,77.0
limitless,7.4,444417,79.24,59.0
midnight special,6.7,54787,3.71,76.0
don't think twice,6.8,10485,4.42,83.0
alice in wonderland,6.5,324898,334.19,53.0
chuck,6.8,391,0.11,68.0
the break-up,5.8,106381,118.68,45.0
loving,7.1,17141,7.7,79.0
fantastic four,4.3,121847,56.11,27.0
the boy next door,4.6,30180,35.39,30.0
the gift,7.1,96688,43.77,77.0
dracula untold,6.3,148504,55.94,40.0
in the heart of the sea,6.9,90372,24.99,47.0
idiocracy,6.6,115355,0.44,66.0
the expendables,6.5,283282,102.98,45.0
evil dead,6.5,133113,54.24,57.0
sinister,6.8,171169,48.06,53.0
wreck-it ralph,7.8,290559,189.41,72.0
snow white and the huntsman,6.1,239772,155.11,57.0
pan,5.8,47804,34.96,36.0
transformers: dark of the moon,6.3,338369,352.36,42.0
juno,7.5,432461,143.49,81.0
a hologram for the king,6.1,26521,4.2,58.0
money monster,6.5,68654,41.01,55.0
the other woman,6.0,110825,83.91,39.0
enchanted,7.1,150353,127.71,75.0
the intern,7.1,159582,75.27,51.0
little miss sunshine,7.8,374044,59.89,80.0
bleed for this,6.8,11900,4.85,62.0
clash of the titans,5.8,238206,163.19,39.0
the finest hours,6.8,44425,27.55,58.0
tron,6.8,273959,172.05,49.0
the hunger games: catching fire,7.6,525646,424.65,76.0
all good things,6.3,44158,0.58,57.0
kickboxer: vengeance,4.9,6809,131.56,37.0
sex tape,5.1,89885,38.54,36.0
what to expect when you're expecting,5.7,60059,41.1,41.0
moneyball,7.6,297395,75.61,87.0
ghost rider,5.2,190673,115.8,35.0
unbroken,7.2,114006,115.6,59.0
immortals,6.0,142900,83.5,46.0
sunshine,7.3,199860,3.68,64.0
brave,7.2,293941,237.28,69.0
män som hatar kvinnor,7.8,182074,10.1,76.0
adoration,6.2,25208,0.32,37.0
the drop,7.1,116118,10.72,69.0
she's the man,6.4,122864,2.34,45.0
daddy's home,6.1,68306,150.32,42.0
let me in,7.2,97141,12.13,79.0
never back down,6.6,84083,24.85,39.0
grimsby,6.2,63408,6.86,44.0
moon,7.9,277123,5.01,67.0
megamind,7.3,183926,148.34,63.0
gangster squad,6.7,181432,46.0,40.0
blood father,6.4,40357,93.95,66.0
